sale_id,date,salesperson,make,model,year,price
10057,2026-01-03,Ioane,Ford,Ranger,2016,42400.00
10058,2026-01-03,Finn,Toyota,RAV4,2012,21200.00
10059,2026-01-03,Ben,Hyundai,Tucson,2025,38950.00
10060,2026-01-03,Mere,Suzuki,Swift,2014,9400.00
10061,2026-01-03,Finn,Volkswagen,Golf,2012,13900.00
10062,2026-01-04,Hana,Tesla,Model 3,2018,49650.00
10063,2026-01-04,Finn,Toyota,Hilux,2015,34400.00
10064,2026-01-04,Aroha,Honda,CR-V,2017,27100.00
10065,2026-01-04,Olivia,Kia,Sportage,2012,18200.00
10066,2026-01-04,Olivia,Hyundai,Tucson,2020,35950.00
10067,2026-01-04,Liam,Toyota,Aqua,2025,15400.00
10068,2026-01-04,Ben,Nissan,Leaf,2019,17650.00
10069,2026-01-04,Nikau,Holden,Commodore,2024,29850.00
10070,2026-01-04,Dan,Nissan,Leaf,2016,12050.00
10071,2026-01-04,Eve,Tesla,Model 3,2012,28800.00
10072,2026-01-04,Ioane,Mazda,CX-5,2024,38650.00
10073,2026-01-04,Hana,Volkswagen,Golf,2018,17750.00
10074,2026-01-04,Ben,Ford,Focus,2025,16550.00
10075,2026-01-04,Eve,Mitsubishi,Triton,2025,46250.00
10076,2026-01-04,Nikau,Mazda,CX-5,2020,36800.00
10077,2026-01-04,Liam,Kia,Sportage,2017,28900.00
10078,2026-01-04,Chloe,Volkswagen,Golf,2020,20600.00
10079,2026-01-04,Liam,Toyota,RAV4,2025,43300.00
10080,2026-01-04,Mere,Nissan,Navara,2016,34100.00
10081,2026-01-04,Chloe,Hyundai,Tucson,2016,25500.00
10082,2026-01-04,Nikau,Volkswagen,Golf,2024,23600.00
10083,2026-01-04,Hana,Volkswagen,Golf,2020,18900.00
10084,2026-01-04,Chloe,Honda,CR-V,2012,21050.00
10085,2026-01-05,Eve,Ford,Focus,2015,9100.00
10086,2026-01-05,Mere,Toyota,RAV4,2018,36950.00
10087,2026-01-05,Liam,Toyota,RAV4,2024,45300.00
10088,2026-01-05,Ioane,Mitsubishi,Triton,2012,21700.00
10089,2026-01-05,Olivia,Ford,Focus,2020,12250.00
10090,2026-01-05,Ben,Subaru,Outback,2014,22950.00
10091,2026-01-05,Hana,Mazda,Demio,2024,13550.00
10092,2026-01-05,Liam,Mitsubishi,Triton,2014,29100.00
10093,2026-01-05,Ben,Mitsubishi,Outlander,2024,38600.00
10094,2026-01-05,Jess,Mitsubishi,Outlander,2012,20100.00
10095,2026-01-05,Aroha,Kia,Sportage,2023,34650.00
10096,2026-01-05,Jess,Mazda,BT-50,2012,22750.00
10097,2026-01-05,Chloe,Honda,CR-V,2019,26450.00
10098,2026-01-05,Finn,Toyota,Corolla,2017,18550.00
10099,2026-01-05,Liam,Toyota,RAV4,2014,25850.00
10100,2026-01-05,Mere,Kia,Sportage,2012,17750.00
10101,2026-01-05,Jess,Mazda,CX-5,2020,37150.00
10102,2026-01-05,Mere,Toyota,Yaris,2021,17850.00
10103,2026-01-05,Aroha,Nissan,Navara,2019,34750.00
10104,2026-01-05,Kiri,Honda,Fit,2014,7450.00
10105,2026-01-05,Eve,Toyota,Hilux,2018,44350.00
10106,2026-01-05,Ioane,Ford,Ranger,2015,35650.00
10107,2026-01-05,Mere,Tesla,Model 3,2020,46900.00
10108,2026-01-05,Kiri,Tesla,Model 3,2017,41200.00
10109,2026-01-06,Eve,Toyota,Hilux,2012,29850.00
10110,2026-01-06,Liam,Ford,Ranger,2023,59150.00
10111,2026-01-06,Hana,Toyota,Hilux,2015,30250.00
10112,2026-01-06,Mere,Honda,CR-V,2019,25200.00
10113,2026-01-06,Nikau,Mazda,Axela,2021,16150.00
10114,2026-01-06,Dan,Honda,CR-V,2013,18200.00
10115,2026-01-06,Liam,Hyundai,Tucson,2019,33250.00
10116,2026-01-06,Nikau,Toyota,Aqua,2016,10300.00
10117,2026-01-06,Chloe,Mazda,Axela,2021,15100.00
10118,2026-01-06,Ben,Ford,Ranger,2017,35950.00
10119,2026-01-06,Hana,Mazda,BT-50,2025,53350.00
10120,2026-01-06,Jess,Mitsubishi,Triton,2025,47550.00
10121,2026-01-06,Finn,Hyundai,Tucson,2014,23950.00
10122,2026-01-06,Dan,Mitsubishi,Triton,2015,26650.00
10123,2026-01-06,Mere,Toyota,Aqua,2017,13150.00
10124,2026-01-06,Liam,Ford,Focus,2022,12450.00
10125,2026-01-06,Eve,Suzuki,Swift,2024,17200.00
10126,2026-01-06,Olivia,Kia,Sportage,2015,25950.00
10127,2026-01-06,Chloe,Mazda,BT-50,2017,34350.00
10128,2026-01-07,Chloe,Hyundai,Tucson,2018,28750.00
10129,2026-01-07,Eve,Ford,Focus,2021,13950.00
10130,2026-01-07,Chloe,Toyota,RAV4,2023,42700.00
10131,2026-01-07,Mere,Mazda,CX-5,2015,22300.00
10132,2026-01-07,Eve,Kia,Sportage,2025,38250.00
10133,2026-01-07,Liam,Suzuki,Swift,2014,9600.00
10134,2026-01-07,Ioane,Mitsubishi,Triton,2016,26100.00
10135,2026-01-07,Ioane,Toyota,Yaris,2024,20950.00
10136,2026-01-07,Ioane,Mazda,Axela,2017,11650.00
10137,2026-01-07,Nikau,Mazda,BT-50,2022,44100.00
10138,2026-01-07,Jess,Mazda,BT-50,2022,48850.00
10139,2026-01-07,Mere,Honda,Civic,2017,17800.00
10140,2026-01-07,Finn,Mitsubishi,Triton,2025,40150.00
10141,2026-01-07,Dan,Ford,Ranger,2018,45500.00
10142,2026-01-07,Dan,Holden,Commodore,2015,16800.00
10143,2026-01-07,Ioane,Ford,Focus,2017,10700.00
10144,2026-01-07,Ben,Tesla,Model 3,2021,59150.00
10145,2026-01-07,Ioane,Hyundai,Tucson,2015,25000.00
10146,2026-01-07,Hana,Subaru,Outback,2025,48900.00
10147,2026-01-07,Kiri,Ford,Ranger,2025,62850.00
10148,2026-01-07,Eve,Mazda,BT-50,2020,42850.00
10149,2026-01-07,Aroha,Tesla,Model 3,2023,54150.00
10150,2026-01-08,Kiri,Holden,Commodore,2023,24100.00
10151,2026-01-08,Eve,Nissan,Navara,2022,49150.00
10152,2026-01-08,Aroha,Mitsubishi,Triton,2019,35850.00
10153,2026-01-08,Hana,Holden,Commodore,2024,26050.00
10154,2026-01-08,Eve,Toyota,Aqua,2025,19050.00
10155,2026-01-08,Nikau,Toyota,RAV4,2015,31400.00
10156,2026-01-08,Ioane,Subaru,Forester,2016,27000.00
10157,2026-01-08,Eve,Subaru,Forester,2017,29450.00
10158,2026-01-08,Dan,Toyota,RAV4,2025,46200.00
10159,2026-01-08,Liam,Mazda,BT-50,2012,22850.00
10160,2026-01-08,Ioane,Honda,Civic,2023,21550.00
10161,2026-01-08,Eve,Toyota,RAV4,2020,34700.00
10162,2026-01-08,Hana,Subaru,Outback,2015,27450.00
10163,2026-01-08,Liam,Suzuki,Swift,2014,8850.00
10164,2026-01-08,Kiri,Kia,Sportage,2022,28650.00
10165,2026-01-08,Dan,Tesla,Model 3,2022,61400.00
10166,2026-01-08,Ioane,Subaru,Outback,2016,32400.00
10167,2026-01-08,Mere,Subaru,Forester,2012,18650.00
10168,2026-01-08,Kiri,Suzuki,Swift,2021,16750.00
10169,2026-01-08,Finn,Nissan,Leaf,2022,18700.00
10170,2026-01-08,Aroha,Honda,CR-V,2020,31150.00
10171,2026-01-08,Liam,Toyota,RAV4,2015,29300.00
10172,2026-01-08,Mere,Kia,Sportage,2024,41350.00
10173,2026-01-08,Nikau,Tesla,Model 3,2020,46000.00
10174,2026-01-08,Kiri,Tesla,Model 3,2017,40500.00
10175,2026-01-08,Finn,Toyota,Yaris,2024,16200.00
10176,2026-01-08,Liam,Honda,CR-V,2016,24800.00
10177,2026-01-08,Dan,Mazda,CX-5,2014,21200.00
10178,2026-01-09,Jess,Mazda,Demio,2012,5250.00
10179,2026-01-09,Liam,Honda,Fit,2017,10800.00
10180,2026-01-09,Ioane,Mitsubishi,Triton,2019,33600.00
10181,2026-01-09,Dan,Toyota,Aqua,2025,19550.00
10182,2026-01-09,Mere,Honda,CR-V,2019,26200.00
10183,2026-01-09,Dan,Nissan,Navara,2013,24150.00
10184,2026-01-09,Nikau,Mitsubishi,Triton,2016,31650.00
10185,2026-01-09,Olivia,Mazda,Demio,2024,11250.00
10186,2026-01-09,Liam,Subaru,Outback,2015,24850.00
10187,2026-01-09,Olivia,Tesla,Model 3,2022,64600.00
10188,2026-01-09,Finn,Mazda,BT-50,2022,45100.00
10189,2026-01-09,Olivia,Nissan,Navara,2021,40750.00
10190,2026-01-09,Jess,Nissan,Leaf,2015,12900.00
10191,2026-01-09,Mere,Volkswagen,Golf,2018,16750.00
10192,2026-01-09,Nikau,Volkswagen,Golf,2014,14300.00
10193,2026-01-09,Nikau,Kia,Sportage,2012,19450.00
10194,2026-01-09,Nikau,Mazda,Axela,2019,14250.00
10195,2026-01-09,Hana,Tesla,Model 3,2021,49450.00
10196,2026-01-09,Hana,Subaru,Outback,2017,35050.00
10197,2026-01-10,Olivia,Toyota,Yaris,2014,9500.00
10198,2026-01-10,Olivia,Mitsubishi,Outlander,2017,30700.00
10199,2026-01-10,Nikau,Toyota,Yaris,2024,18050.00
10200,2026-01-10,Olivia,Subaru,Outback,2018,31300.00
10201,2026-01-10,Ioane,Tesla,Model 3,2012,30000.00
10202,2026-01-10,Chloe,Kia,Sportage,2022,33400.00
10203,2026-01-10,Liam,Mazda,Axela,2023,17150.00
10204,2026-01-10,Chloe,Mazda,Demio,2022,11000.00
10205,2026-01-10,Dan,Mazda,Axela,2023,16050.00
10206,2026-01-10,Olivia,Mitsubishi,Triton,2018,30000.00
10207,2026-01-10,Liam,Volkswagen,Golf,2021,23850.00
10208,2026-01-10,Finn,Ford,Focus,2017,10250.00
10209,2026-01-11,Olivia,Ford,Focus,2018,9950.00
10210,2026-01-11,Kiri,Subaru,Outback,2012,24800.00
10211,2026-01-11,Olivia,Tesla,Model 3,2023,56700.00
10212,2026-01-11,Hana,Ford,Ranger,2022,48950.00
10213,2026-01-11,Kiri,Toyota,Aqua,2016,11500.00
10214,2026-01-11,Liam,Nissan,Leaf,2023,21950.00
10215,2026-01-11,Jess,Toyota,Hilux,2021,46800.00
10216,2026-01-11,Nikau,Mazda,BT-50,2024,49250.00
10217,2026-01-11,Ioane,Ford,Ranger,2021,49850.00
10218,2026-01-11,Hana,Mitsubishi,Triton,2024,47850.00
10219,2026-01-11,Liam,Suzuki,Swift,2016,10700.00
10220,2026-01-11,Olivia,Nissan,Navara,2018,33000.00
10221,2026-01-11,Eve,Kia,Sportage,2020,30650.00
10222,2026-01-11,Ioane,Toyota,RAV4,2025,48800.00
10223,2026-01-11,Jess,Ford,Focus,2025,16550.00
10224,2026-01-11,Finn,Kia,Sportage,2014,23950.00
10225,2026-01-11,Jess,Mazda,Demio,2020,10200.00
10226,2026-01-11,Ben,Mitsubishi,Triton,2024,49700.00
10227,2026-01-11,Ioane,Honda,Fit,2019,11650.00
10228,2026-01-11,Liam,Honda,CR-V,2018,30100.00
10229,2026-01-12,Olivia,Ford,Ranger,2016,33450.00
10230,2026-01-12,Ioane,Mazda,CX-5,2022,40350.00
10231,2026-01-12,Kiri,Subaru,Outback,2012,23400.00
10232,2026-01-12,Dan,Mitsubishi,Outlander,2015,25400.00
10233,2026-01-12,Hana,Mazda,BT-50,2025,55500.00
10234,2026-01-12,Dan,Kia,Sportage,2014,21150.00
10235,2026-01-12,Finn,Toyota,RAV4,2019,34000.00
10236,2026-01-12,Dan,Volkswagen,Golf,2014,15600.00
10237,2026-01-12,Ioane,Honda,Civic,2015,13750.00
10238,2026-01-12,Nikau,Subaru,Outback,2019,31100.00
10239,2026-01-12,Finn,Mazda,BT-50,2019,35400.00
10240,2026-01-12,Finn,Subaru,Forester,2022,36900.00
10241,2026-01-12,Olivia,Nissan,Navara,2019,37150.00
10242,2026-01-12,Mere,Mazda,Demio,2021,11200.00
10243,2026-01-12,Mere,Holden,Commodore,2022,26600.00
10244,2026-01-12,Jess,Hyundai,Tucson,2024,41550.00
10245,2026-01-12,Ioane,Honda,CR-V,2024,34450.00
10246,2026-01-12,Eve,Mazda,Axela,2017,13000.00
10247,2026-01-12,Ben,Mazda,BT-50,2021,38500.00
10248,2026-01-13,Dan,Mazda,Axela,2021,14200.00
10249,2026-01-13,Liam,Mitsubishi,Triton,2015,29600.00
10250,2026-01-13,Eve,Ford,Ranger,2015,37050.00
10251,2026-01-13,Nikau,Honda,Civic,2020,20350.00
10252,2026-01-13,Liam,Toyota,Yaris,2024,17800.00
10253,2026-01-13,Ioane,Kia,Sportage,2025,41350.00
10254,2026-01-13,Ben,Kia,Sportage,2025,36950.00
10255,2026-01-13,Liam,Toyota,Hilux,2022,49400.00
10256,2026-01-13,Ben,Nissan,Tiida,2017,7750.00
10257,2026-01-13,Ben,Mitsubishi,Triton,2017,27350.00
10258,2026-01-13,Finn,Mazda,Axela,2013,8400.00
10259,2026-01-13,Finn,Mazda,BT-50,2019,36600.00
10260,2026-01-13,Kiri,Toyota,Aqua,2016,12000.00
10261,2026-01-13,Chloe,Toyota,Corolla,2015,16500.00
10262,2026-01-13,Chloe,Mazda,CX-5,2021,31350.00
10263,2026-01-13,Kiri,Kia,Sportage,2020,28150.00
10264,2026-01-13,Eve,Mitsubishi,Triton,2012,21500.00
10265,2026-01-13,Nikau,Mazda,CX-5,2024,40050.00
10266,2026-01-13,Hana,Honda,CR-V,2023,38200.00
10267,2026-01-14,Jess,Subaru,Forester,2014,26750.00
10268,2026-01-14,Mere,Kia,Sportage,2013,21000.00
10269,2026-01-14,Ioane,Toyota,RAV4,2019,37300.00
10270,2026-01-14,Nikau,Toyota,RAV4,2023,42100.00
10271,2026-01-14,Aroha,Mazda,CX-5,2020,34800.00
10272,2026-01-14,Kiri,Ford,Focus,2024,17050.00
10273,2026-01-14,Kiri,Mazda,BT-50,2024,43200.00
10274,2026-01-14,Mere,Toyota,Aqua,2018,13700.00
10275,2026-01-14,Finn,Honda,Civic,2022,22950.00
10276,2026-01-14,Ioane,Toyota,RAV4,2022,42300.00
10277,2026-01-14,Finn,Tesla,Model 3,2024,68850.00
10278,2026-01-14,Ioane,Suzuki,Swift,2018,13350.00
10279,2026-01-14,Mere,Mazda,CX-5,2019,27000.00
10280,2026-01-14,Chloe,Toyota,Aqua,2024,16550.00
10281,2026-01-14,Olivia,Mazda,CX-5,2017,25750.00
10282,2026-01-14,Hana,Honda,CR-V,2025,38600.00
10283,2026-01-14,Ioane,Honda,CR-V,2023,40600.00
10284,2026-01-14,Hana,Nissan,Navara,2014,31700.00
10285,2026-01-14,Olivia,Toyota,Hilux,2019,40200.00
10286,2026-01-14,Liam,Toyota,Aqua,2022,14250.00
10287,2026-01-14,Olivia,Mazda,CX-5,2020,29200.00
10288,2026-01-14,Jess,Nissan,Leaf,2012,11400.00
10289,2026-01-15,Nikau,Mazda,Axela,2025,15600.00
10290,2026-01-15,Liam,Toyota,Aqua,2025,17300.00
10291,2026-01-15,Ioane,Ford,Focus,2022,13250.00
10292,2026-01-15,Jess,Toyota,Aqua,2023,14450.00
10293,2026-01-15,Liam,Ford,Ranger,2016,42200.00
10294,2026-01-15,Aroha,Tesla,Model 3,2017,41800.00
10295,2026-01-15,Ioane,Volkswagen,Golf,2016,16550.00
10296,2026-01-15,Ioane,Toyota,Yaris,2017,14900.00
10297,2026-01-15,Ioane,Mazda,BT-50,2022,49900.00
10298,2026-01-15,Mere,Honda,Fit,2016,10850.00
10299,2026-01-15,Dan,Mazda,BT-50,2021,47050.00
10300,2026-01-15,Olivia,Tesla,Model 3,2016,46600.00
10301,2026-01-15,Ben,Toyota,Corolla
10301,2026-01-15,Chloe,Toyota,RAV4,2015,27500.00
10302,2026-01-15,Jess,Toyota,Aqua,2017,11000.00
10303,2026-01-16,Eve,Honda,CR-V,2020,35550.00
10304,2026-01-16,Jess,Subaru,Forester,2018,33700.00
10305,2026-01-16,Liam,Toyota,Aqua,2020,13750.00
10306,2026-01-16,Kiri,Ford,Focus,2012,7650.00
10307,2026-01-16,Finn,Ford,Focus,2012,8400.00
10308,2026-01-16,Hana,Toyota,RAV4,2014,28800.00
10309,2026-01-16,Liam,Nissan,Navara,2012,21100.00
10310,2026-01-16,Finn,Holden,Commodore,2022,28350.00
10311,2026-01-16,Nikau,Holden,Commodore,2014,16300.00
10312,2026-01-16,Liam,Mazda,CX-5,2022,32450.00
10313,2026-01-16,Dan,Mitsubishi,Triton,2020,37750.00
10314,2026-01-16,Mere,Mazda,BT-50,2022,42150.00
10315,2026-01-16,Dan,Toyota,RAV4,2018,33950.00
10316,2026-01-16,Ben,Mitsubishi,Triton,2012,22700.00
10317,2026-01-16,Olivia,Honda,CR-V,2017,23600.00
10318,2026-01-16,Dan,Tesla,Model 3,2015,41400.00
10319,2026-01-16,Ioane,Subaru,Forester,2022,33650.00
10320,2026-01-16,Mere,Volkswagen,Golf,2022,23200.00
10321,2026-01-16,Olivia,Kia,Sportage,2017,21850.00
10322,2026-01-17,Ben,Suzuki,Swift,2024,16700.00
10323,2026-01-17,Eve,Toyota,Aqua,2012,7250.00
10324,2026-01-17,Ben,Ford,Ranger,2014,31000.00
10325,2026-01-17,Jess,Holden,Commodore,2023,25800.00
10326,2026-01-17,Jess,Subaru,Outback,2018,31250.00
10327,2026-01-17,Hana,Toyota,Aqua,2018,11150.00
10328,2026-01-17,Kiri,Subaru,Outback,2022,39900.00
10329,2026-01-17,Ben,Kia,Sportage,2014,24100.00
10330,2026-01-17,Kiri,Mazda,Axela,2016,12100.00
10331,2026-01-17,Aroha,Suzuki,Swift,2019,14000.00
10332,2026-01-17,Mere,Mazda,Axela,2021,15450.00
10333,2026-01-17,Ben,Kia,Sportage,2023,30200.00
10334,2026-01-17,Ben,Mazda,BT-50,2023,46550.00
10335,2026-01-17,Mere,Toyota,Aqua,2014,8300.00
10336,2026-01-17,Ben,Mazda,BT-50,2022,51100.00
10337,2026-01-17,Chloe,Toyota,Hilux,2012,23350.00
10338,2026-01-17,Hana,Nissan,Leaf,2017,16200.00
10339,2026-01-17,Jess,Ford,Ranger,2016,38700.00
10340,2026-01-17,Finn,Toyota,RAV4,2024,48400.00
10341,2026-01-17,Dan,Kia,Sportage,2013,18950.00
10342,2026-01-17,Eve,Subaru,Outback,2025,41950.00
10343,2026-01-17,Olivia,Suzuki,Swift,2021,15450.00
10344,2026-01-17,Hana,Mazda,BT-50,2024,51500.00
10345,2026-01-18,Aroha,Subaru,Outback,2015,26650.00
10346,2026-01-18,Dan,Holden,Commodore,2025,35150.00
10347,2026-01-18,Ben,Toyota,Yaris,2019,15900.00
10348,2026-01-18,Olivia,Mazda,BT-50,2015,28100.00
10349,2026-01-18,Kiri,Mazda,BT-50,2023,42300.00
10350,2026-01-18,Finn,Honda,Fit,2012,6900.00
10351,2026-01-18,Nikau,Toyota,Hilux,2014,27700.00
10352,2026-01-18,Chloe,Mazda,BT-50,2022,50600.00
10353,2026-01-18,Olivia,Mitsubishi,Triton,2014,26500.00
10354,2026-01-18,Dan,Ford,Focus,2025,17350.00
10355,2026-01-18,Liam,Mitsubishi,Triton,2013,23000.00
10356,2026-01-18,Ben,Toyota,Aqua,2018,13750.00
10357,2026-01-18,Kiri,Volkswagen,Golf,2014,16950.00
10358,2026-01-18,Ioane,Kia,Sportage,2021,29100.00
10359,2026-01-18,Jess,Volkswagen,Golf,2023,27850.00
10360,2026-01-18,Mere,Mitsubishi,Triton,2024,43900.00
10361,2026-01-18,Nikau,Mitsubishi,Triton,2021,42400.00
10362,2026-01-18,Eve,Mazda,CX-5,2021,36050.00
10363,2026-01-18,Ben,Holden,Commodore,2012,17000.00
10364,2026-01-18,Finn,Suzuki,Swift,2016,10750.00
10365,2026-01-19,Eve,Mazda,CX-5,2014,22100.00
10366,2026-01-19,Nikau,Volkswagen,Golf,2016,17150.00
10367,2026-01-19,Jess,Subaru,Outback,2025,49300.00
10368,2026-01-19,Jess,Kia,Sportage,2019,28700.00
10369,2026-01-19,Mere,Ford,Focus,2023,12450.00
10370,2026-01-19,Finn,Mitsubishi,Outlander,2023,43450.00
10371,2026-01-19,Jess,Toyota,Hilux,2021,49150.00
10372,2026-01-19,Aroha,Ford,Focus,2022,12850.00
10373,2026-01-19,Olivia,Volkswagen,Golf,2012,12500.00
10374,2026-01-19,Olivia,Mitsubishi,Triton,2018,30550.00
10375,2026-01-19,Nikau,Honda,Fit,2025,15750.00
10376,2026-01-19,Finn,Mazda,CX-5,2017,28900.00
10377,2026-01-19,Chloe,Suzuki,Swift,2020,14350.00
10378,2026-01-19,Hana,Honda,CR-V,2019,27200.00
10379,2026-01-19,Dan,Honda,CR-V,2016,22900.00
10380,2026-01-19,Mere,Subaru,Outback,2016,31100.00
10381,2026-01-19,Jess,Mazda,Axela,2024,17900.00
10382,2026-01-19,Liam,Toyota,Aqua,2024,18650.00
10383,2026-01-19,Hana,Mitsubishi,Triton,2020,39850.00
10384,2026-01-20,Hana,Mazda,CX-5,2018,31900.00
10385,2026-01-20,Finn,Holden,Commodore,2012,14350.00
10386,2026-01-20,Ioane,Mitsubishi,Triton,2017,27250.00
10387,2026-01-20,Kiri,Ford,Ranger,2021,44550.00
10388,2026-01-20,Jess,Tesla,Model 3,2018,49250.00
10389,2026-01-20,Chloe,Ford,Ranger,2018,42600.00
10390,2026-01-20,Finn,Tesla,Model 3,2019,47550.00
10391,2026-01-20,Mere,Mazda,CX-5,2017,29650.00
10392,2026-01-20,Jess,Volkswagen,Golf,2013,12950.00
10393,2026-01-20,Kiri,Mitsubishi,Triton,2021,42800.00
10394,2026-01-20,Olivia,Nissan,Navara,2017,31500.00
10395,2026-01-20,Ioane,Honda,CR-V,2025,33650.00
10396,2026-01-20,Olivia,Toyota,Hilux,2018,42850.00
10397,2026-01-20,Jess,Subaru,Outback,2024,39450.00
10398,2026-01-21,Jess,Volkswagen,Golf,2021,24000.00
10399,2026-01-21,Finn,Holden,Commodore,2017,20350.00
10400,2026-01-21,Hana,Mitsubishi,Triton,2018,35350.00
10401,2026-01-21,Mere,Tesla,Model 3,2015,37100.00
10402,2026-01-21,Eve,Hyundai,Tucson,2023,38500.00
10403,2026-01-21,Liam,Mazda,BT-50,2016,37450.00
10404,2026-01-21,Finn,Hyundai,Tucson,2017,25450.00
10405,2026-01-21,Olivia,Nissan,Navara,2012,20700.00
10406,2026-01-21,Finn,Mitsubishi,Triton,2013,27500.00
10407,2026-01-21,Nikau,Honda,Civic,2024,23300.00
10408,2026-01-21,Kiri,Suzuki,Swift,2012,7950.00
10409,2026-01-21,Jess,Tesla,Model 3,2015,43050.00
10410,2026-01-21,Finn,Honda,Civic,2023,24700.00
10411,2026-01-21,Ioane,Mazda,CX-5,2016,23350.00
10412,2026-01-21,Hana,Subaru,Outback,2018,28300.00
10413,2026-01-22,Mere,Subaru,Outback,2025,46300.00
10414,2026-01-22,Ben,Toyota,Yaris,2017,12950.00
10415,2026-01-22,Aroha,Toyota,Yaris,2017,12100.00
10416,2026-01-22,Kiri,Honda,CR-V,2021,30200.00
10417,2026-01-22,Hana,Toyota,Aqua,2012,9250.00
10418,2026-01-22,Finn,Ford,Focus,2021,13700.00
10419,2026-01-22,Olivia,Mazda,CX-5,2019,27200.00
10420,2026-01-22,Nikau,Mitsubishi,Outlander,2025,45900.00
10421,2026-01-22,Kiri,Ford,Focus,2022,12700.00
10422,2026-01-22,Chloe,Hyundai,Tucson,2015,22650.00
10423,2026-01-22,Jess,Hyundai,Tucson,2017,29450.00
10424,2026-01-22,Olivia,Mazda,Demio,2013,6700.00
10425,2026-01-22,Ben,Honda,CR-V,2019,33750.00
10426,2026-01-22,Hana,Mazda,BT-50,2019,44200.00
10427,2026-01-22,Olivia,Kia,Sportage,2022,32300.00
10428,2026-01-22,Ben,Mazda,Demio,2013,5650.00
10429,2026-01-22,Nikau,Nissan,Tiida,2020,7450.00
10430,2026-01-22,Olivia,Subaru,Outback,2018,30650.00
10431,2026-01-23,Aroha,Tesla,Model 3,2018,54200.00
10432,2026-01-23,Finn,Honda,CR-V,2020,32350.00
10433,2026-01-23,Hana,Tesla,Model 3,2015,37500.00
